resource_id,project_id,resource_name,role,allocated_hours,actual_hours
RES063,PRJ009,"Barbara Wilkinson",Developer,310,308
RES064,PRJ010,"Kirsty Akhtar","Product Owner",762,875
RES065,PRJ010,"Harry Gardiner",Developer,864,930
RES066,PRJ010,"Melissa Mann","Business Analyst",570,623
RES067,PRJ010,"Mr Peter Riley","Business Analyst",189,139
RES068,PRJ010,"Thomas Morgan","Project Coordinator",913,765
RES069,PRJ010,"Mr Jake Stevenson",Developer,688,792
RES070,PRJ010,"Kenneth Taylor",Engineer,517,472
RES071,PRJ010,"Jennifer Lamb","Product Owner",543,474
RES072,PRJ010,"Miss Carole Hussain","Product Owner",789,603
RES073,PRJ011,"Ricky Adams-Jones","Technical Lead",164,182
RES074,PRJ011,"Stephanie Lloyd","Technical Lead",146,158
RES075,PRJ011,"Leah Newman",Developer,466,564
RES076,PRJ011,"Sally George",Developer,396,448
RES077,PRJ012,"Shane Kerr","Technical Lead",188,160
RES078,PRJ012,"Mr Matthew Hunt","Finance Analyst",490,449
RES079,PRJ012,"Lucy Rees","Business Analyst",585,459
RES080,PRJ012,"Hazel Taylor","Data Analyst",239,265
RES081,PRJ012,"Mrs Ruth Smith","Change Manager",402,493
RES082,PRJ012,"Michael Bibi","Project Coordinator",405,434
RES083,PRJ013,"Miss Danielle Martin","QA Analyst",111,111
RES084,PRJ013,"Charles Smith-Byrne","Change Manager",244,187
RES085,PRJ013,"Brandon Hodgson","Business Analyst",686,705
RES086,PRJ013,"Mrs Rebecca Hale","Change Manager",660,805
RES087,PRJ013,"Adam Ford",Engineer,315,350
RES088,PRJ013,"Tina Pritchard","QA Analyst",316,292
RES089,PRJ013,"Mrs Lesley Charlton","Change Manager",245,193
RES090,PRJ013,"Beverley Lee","Data Analyst",731,847
RES091,PRJ013,"Derek Talbot-Scott","Data Analyst",217,173
RES092,PRJ013,"Arthur Bailey","Technical Lead",972,709
RES093,PRJ014,"Dr Mohamed Webb","Change Manager",572,603
RES094,PRJ014,"Holly Clark",Developer,397,424
RES095,PRJ014,"Julia Bryan",Engineer,200,161
RES096,PRJ014,"Sylvia Kelly-Ward","Technical Lead",598,731
RES097,PRJ014,"Elliott Davis","QA Analyst",231,246
RES098,PRJ014,"Duncan Smith","Data Analyst",202,173
RES099,PRJ014,"Mr Jordan Thomson",Developer,298,260
RES100,PRJ014,"Dr Daniel Harper","Finance Analyst",436,452
RES101,PRJ014,"Mr Stanley Robinson",Engineer,810,827
RES102,PRJ014,"Melissa Fisher","Technical Lead",680,612
RES103,PRJ015,"Mrs Victoria Tucker","Product Owner",272,191
RES104,PRJ015,"Keith Kaur-Lee","Data Analyst",904,742
RES105,PRJ015,"Martyn Kennedy","Product Owner",383,445
RES106,PRJ015,"Nicola Brookes","Project Coordinator",795,876
RES107,PRJ015,"Mr Antony Kelly","Finance Analyst",573,541
RES108,PRJ015,"Charlene Webb",Engineer,598,600
RES109,PRJ016,"Dr Dylan Morris","Technical Lead",183,212
RES110,PRJ016,"Amanda Simpson","Project Coordinator",651,526
RES111,PRJ016,"Mr Russell Jennings",Developer,844,625
RES112,PRJ016,"Mohammed Gill-Ali","Business Analyst",969,948
RES113,PRJ016,"Harry Phillips","Business Analyst",932,950
RES114,PRJ017,"Mr Karl Carr","Technical Lead",317,379
RES115,PRJ017,"Dr Jamie Ryan","Change Manager",366,365
RES116,PRJ017,"Clive Rogers","Change Manager",583,617
RES117,PRJ017,"Mr Nathan Brown","Project Coordinator",474,434
RES118,PRJ017,"Suzanne Mills","Technical Lead",850,995
RES119,PRJ017,"Mr Bradley Parsons","Project Coordinator",575,560
RES120,PRJ017,"Marc Davies",Developer,506,455
RES121,PRJ018,"Dr Stephen Clark","Data Analyst",968,1190
RES122,PRJ018,"Louise Jackson-Robinson","Technical Lead",800,632
RES123,PRJ018,"Michelle Anderson","Change Manager",243,229
RES124,PRJ018,"Miss Marion Butler","Project Coordinator",679,829
RES125,PRJ019,"Kevin Cooper","Project Coordinator",853,940
RES126,PRJ019,"Neil Smith","QA Analyst",141,115
RES127,PRJ019,"Charlie Winter-Bennett","Finance Analyst",337,247
RES128,PRJ019,"Glenn Peters","QA Analyst",339,245
RES129,PRJ019,"Albert Chapman-Williams","Data Analyst",630,755
RES130,PRJ019,"Roger Johnson","QA Analyst",497,476
RES131,PRJ019,"Benjamin Peters","Finance Analyst",147,106
RES132,PRJ019,"Tina Gordon-Miles","QA Analyst",205,222
RES133,PRJ019,"Miss Julia Clarke","Change Manager",748,864
RES134,PRJ020,"Dr Annette Morris",Engineer,692,691
RES135,PRJ020,"Cheryl Pearce","Project Coordinator",485,513
RES136,PRJ020,"Mrs Kathleen Hussain","QA Analyst",701,742
RES137,PRJ020,"Miss Joan Williams",Developer,629,527
RES138,PRJ020,"Kenneth Lewis","Data Analyst",628,579
RES139,PRJ020,"Mr Hugh Cunningham","QA Analyst",598,679
RES140,PRJ020,"Mohamed Parkinson","Technical Lead",106,103
RES141,PRJ020,"Mrs Elaine Davies","Project Coordinator",550,435
RES142,PRJ020,"Sandra Kennedy",Developer,626,659
RES143,PRJ020,"Lesley Robinson","Data Analyst",253,203
RES144,PRJ021,"Alan Murphy","Technical Lead",834,958
RES145,PRJ021,"Gerard Chamberlain","Data Analyst",524,600
RES146,PRJ021,"Alex Hughes-Smith",Developer,593,635
RES147,PRJ021,"Leigh Burgess","Finance Analyst",315,322
RES148,PRJ021,"Mr Phillip Lloyd","Product Owner",122,101
RES149,PRJ021,"Dr Peter Bevan","Project Coordinator",687,704
RES150,PRJ022,"Mr Julian Browne","Change Manager",140,166
RES151,PRJ022,"Brett Hill","Project Coordinator",157,124
RES152,PRJ022,"Joel Stephens","Project Coordinator",629,771
RES153,PRJ022,"Dr Stewart Sharp","Technical Lead",677,711
RES154,PRJ022,"Allan Burke",Engineer,187,153
RES155,PRJ023,"Francis Bartlett","Finance Analyst",988,953
RES156,PRJ023,"Frank Power-Mitchell","Data Analyst",950,879
RES157,PRJ023,"Dr Elliot Jones","Project Coordinator",913,931
RES158,PRJ023,"Valerie Williams","Project Coordinator",738,784
RES159,PRJ023,"Gareth Henry-Goodwin",Engineer,271,297
RES160,PRJ023,"Simon Khan","QA Analyst",564,579
RES161,PRJ023,"Lorraine Faulkner",Developer,335,304
RES162,PRJ023,"Kenneth Collins-Miles","Project Coordinator",211,149
RES163,PRJ024,"Donald Sanderson","Change Manager",800,744
RES164,PRJ024,"Anna McCarthy","Project Coordinator",720,542
RES165,PRJ024,"Mr Gerard Palmer","Finance Analyst",729,750
RES166,PRJ024,"Stacey Burns","Change Manager",615,684
RES167,PRJ024,"Dr Sara Morris",Developer,593,630
RES168,PRJ024,"Josh Bartlett","Technical Lead",652,753
RES169,PRJ024,"Jamie Sharpe","Product Owner",634,590
RES170,PRJ024,"Stephen McCarthy","Business Analyst",814,806
RES171,PRJ025,"Declan Roberts","Finance Analyst",908,1019
RES172,PRJ025,"Jake Gray-Bell","QA Analyst",703,803
RES173,PRJ025,"Vincent Payne","Technical Lead",200,186
RES174,PRJ025,"Mrs Patricia Graham",Engineer,588,659
RES175,PRJ025,"Kate Clayton",Developer,390,401
RES176,PRJ026,"Janice Mills-Murphy","Product Owner",363,291
RES177,PRJ026,"Dr Olivia Mitchell","Business Analyst",691,682
RES178,PRJ026,"Dr Malcolm Lee","Change Manager",107,96
RES179,PRJ026,"John Morris","Data Analyst",804,918
RES180,PRJ026,"Melanie Wilson","Product Owner",470,356
RES181,PRJ026,"Gail Thomas","Product Owner",767,783
RES182,PRJ026,"Catherine Ryan",Engineer,975,969
RES183,PRJ026,"Dorothy Wyatt","Technical Lead",474,491
RES184,PRJ027,"Jenna Davies","Product Owner",873,708
RES185,PRJ027,"Raymond Hall","Change Manager",902,908
RES186,PRJ027,"Sheila Thompson-Jenkins","Project Coordinator",479,482
RES187,PRJ027,"Kevin Hobbs-O'Brien","Finance Analyst",359,446
RES188,PRJ027,"Michelle Whitehead-Murray","Technical Lead",452,508
RES189,PRJ027,"Declan Walker","Product Owner",853,661
RES190,PRJ027,"Dr Sandra Wallis",Developer,865,714
RES191,PRJ027,"Terry Smith-Harrison","Project Coordinator",202,165
RES192,PRJ027,"Amelia Foster-O'Neill","Product Owner",904,801
RES193,PRJ028,"Michael Ward","Technical Lead",813,875
RES194,PRJ028,"Miss Janet Lowe","Business Analyst",264,241
RES195,PRJ028,"Mrs Anna Fuller","Business Analyst",923,692
RES196,PRJ028,"Alexandra Hunt","Project Coordinator",582,703
RES197,PRJ028,"Bernard Goddard","Product Owner",190,139
RES198,PRJ028,"Ms Amber Arnold","Data Analyst",479,356
RES199,PRJ028,"Cheryl Mann-Powell","Business Analyst",841,766
RES200,PRJ028,"Donald Williams","Product Owner",728,772
RES201,PRJ029,"Bryan Phillips-Barton","Technical Lead",158,192
RES202,PRJ029,"Mr Bradley Wallace","Project Coordinator",755,733
RES203,PRJ029,"Kate Pearce","Business Analyst",306,357
RES204,PRJ029,"Karl Holt","Change Manager",392,316
RES205,PRJ029,"Ben Clayton","Technical Lead",622,611
RES206,PRJ029,"Stacey Roberts","Data Analyst",729,578
RES207,PRJ030,"Miss Hilary Harrison","QA Analyst",344,364
RES208,PRJ030,"Ashleigh Boyle-Wells","Project Coordinator",188,234
RES209,PRJ030,"Alice Atkinson","Product Owner",461,492
RES210,PRJ030,"Ricky Reed","Product Owner",700,567
RES211,PRJ031,"Frank Berry-Hughes",Developer,192,192
RES212,PRJ031,"Mr Jordan Harris","Change Manager",696,620
RES213,PRJ031,"Ms Natasha Adams",Engineer,331,342
RES214,PRJ031,"Dr Julia Hill","Data Analyst",565,684
RES215,PRJ032,"Miss Stacey Campbell","Business Analyst",367,292
RES216,PRJ032,"Natasha Smith-O'Neill","Change Manager",209,210
RES217,PRJ032,"Sally Baldwin","Change Manager",401,355
RES218,PRJ032,"Leigh Gallagher",Developer,922,905
RES219,PRJ032,"Jodie White",Engineer,997,992
RES220,PRJ032,"Marcus Anderson","Technical Lead",356,385
RES221,PRJ032,"Alison Doyle","Product Owner",676,653
RES222,PRJ032,"Ms Kathleen Brown","Data Analyst",875,775
RES223,PRJ033,"Philip Robertson","Finance Analyst",797,759
RES224,PRJ033,"Julia Harris","Technical Lead",982,702
RES225,PRJ033,"Frances Taylor",Developer,364,268
RES226,PRJ033,"Lee Wong","Data Analyst",793,860
RES227,PRJ033,"Patrick Jones","QA Analyst",522,639
RES228,PRJ033,"Ronald Gallagher","Change Manager",648,457
RES229,PRJ033,"Hayley Singh",Engineer,354,303
RES230,PRJ033,"Kevin Fuller","Product Owner",789,877
RES231,PRJ033,"Dr Deborah Mellor","QA Analyst",177,177
RES232,PRJ033,"Richard Hayes","Project Coordinator",587,512
RES233,PRJ034,"Dr Luke Turner","Technical Lead",375,300
RES234,PRJ034,"Ashleigh Miller","Data Analyst",610,674
RES235,PRJ034,"Joel James","Data Analyst",853,710
RES236,PRJ034,"Amber Palmer",Engineer,311,256
RES237,PRJ034,"Kieran Taylor","Data Analyst",956,994
RES238,PRJ035,"Miss Ruth Houghton",Developer,222,267
RES239,PRJ035,"Adam May","Finance Analyst",728,512
RES240,PRJ035,"Aimee Kelly","Change Manager",143,166
RES241,PRJ035,"Simon Fraser","QA Analyst",735,642
RES242,PRJ035,"Julia Tucker","Technical Lead",989,841
RES243,PRJ036,"Yvonne Price","Change Manager",386,354
RES244,PRJ036,"Damian Harris","Technical Lead",231,168
RES245,PRJ036,"Dawn Goddard","Product Owner",589,716
RES246,PRJ036,"Julian Hammond-Barnes","Business Analyst",614,547
RES247,PRJ036,"Aimee Wright-Roberts","Project Coordinator",568,702
RES248,PRJ037,"Kirsty Clark","Change Manager",571,498
RES249,PRJ037,"Josephine Bray","Business Analyst",112,119
RES250,PRJ037,"Rachel Hammond-Thompson","Product Owner",694,524
RES251,PRJ037,"Hilary Morris-Pearce","QA Analyst",727,853
RES252,PRJ037,"Beverley Harvey-Holmes","Project Coordinator",661,558
RES253,PRJ037,"Reece Hewitt-Knight",Engineer,582,714
RES254,PRJ037,"Gerald Francis","QA Analyst",474,379
RES255,PRJ037,"Alexandra Hunter","Product Owner",315,293
RES256,PRJ037,"Malcolm Payne","QA Analyst",473,553
RES257,PRJ038,"Hazel Lee","Finance Analyst",284,288
RES258,PRJ038,"Billy Watson","Technical Lead",802,662
RES259,PRJ038,"Dr Gerard Thomas",Developer,838,711
RES260,PRJ038,"Mr Damian Reynolds","Data Analyst",668,626
RES261,PRJ038,"Bradley Clayton","Product Owner",300,234
RES262,PRJ038,"Charlie Thomson","Project Coordinator",584,667
RES263,PRJ039,"Jordan Jones","Product Owner",611,472
RES264,PRJ039,"Miss Georgia Davies","Change Manager",646,708
RES265,PRJ039,"Mr Roger Ali","Finance Analyst",407,341
RES266,PRJ039,"Gareth Adams","Technical Lead",148,136
RES267,PRJ039,"Mrs Carole Nicholson","Project Coordinator",161,131
RES268,PRJ040,"Georgia Clark-Clements","Finance Analyst",959,1003
RES269,PRJ040,"Mr Hugh Taylor","Finance Analyst",862,762
RES270,PRJ040,"Russell Holloway","QA Analyst",468,471
RES271,PRJ040,"Jeremy Johnson",Engineer,452,321
RES272,PRJ040,"Terry Williams",Developer,459,540
RES273,PRJ040,"Clare Phillips","Technical Lead",303,308
RES274,PRJ041,"Dawn Williams","Change Manager",278,344
RES275,PRJ041,"Norman O'Neill-Simpson",Engineer,463,406
RES276,PRJ041,"Trevor Ellis","Change Manager",599,674
RES277,PRJ041,"Julia Brown-Miles","Finance Analyst",180,163
RES278,PRJ041,"Amy Hall",Engineer,574,601
RES279,PRJ041,"Josephine Lee","Project Coordinator",989,783
RES280,PRJ041,"Jacob Bond","QA Analyst",531,556
RES281,PRJ041,"Lynne Lee-Robinson","Technical Lead",514,599
RES282,PRJ041,"Carole Fisher",Developer,181,142
RES283,PRJ042,"Ms Abbie Buckley","QA Analyst",424,449
RES284,PRJ042,"Janet White",Engineer,719,758
RES285,PRJ042,"Dr Ronald McDonald",Engineer,555,626
RES286,PRJ042,"Aaron Perry","QA Analyst",865,884
RES287,PRJ042,"Leanne Smart-Jackson","Finance Analyst",523,414
RES288,PRJ043,"Duncan Taylor","Business Analyst",228,250
RES289,PRJ043,"Max Jones",Engineer,861,934
RES290,PRJ043,"Dr Carole Begum",Developer,315,249
RES291,PRJ043,"Mr Damien Smith",Developer,197,144
RES292,PRJ043,"Ms Chelsea Thomas","Finance Analyst",661,482
RES293,PRJ043,"Frank Cole-Barker","Product Owner",636,712
RES294,PRJ043,"Ms Mandy Arnold",Developer,206,173
RES295,PRJ043,"Lynda Arnold","Project Coordinator",186,197
RES296,PRJ043,"Mrs Beverley Spencer","Product Owner",416,343
RES297,PRJ043,"Thomas Wood",Engineer,553,577
RES298,PRJ044,"Ms Lisa Jones","Change Manager",958,760
RES299,PRJ044,"Judith Johnson-Simmons","Business Analyst",779,698
RES300,PRJ044,"Maria Davis","QA Analyst",984,946
RES301,PRJ044,"Dr Sam Johnson","Change Manager",378,378
RES302,PRJ044,"Dr Mathew Fowler","Project Coordinator",814,811
RES303,PRJ045,"Elaine Yates","Technical Lead",567,593
RES304,PRJ045,"Pauline Morris-Williams","Technical Lead",545,538
RES305,PRJ045,"Ellie Campbell","Change Manager",417,500
RES306,PRJ045,"Melissa Thompson","Finance Analyst",652,537
RES307,PRJ045,"Lauren Thomas-Coles",Developer,552,479
RES308,PRJ045,"Eleanor Patel-Lane","Product Owner",366,287
RES309,PRJ045,"Russell Armstrong","Business Analyst",100,98
RES310,PRJ045,"Mr Graham Jarvis","Project Coordinator",452,387
RES311,PRJ046,"Karl Bibi","Business Analyst",804,970
RES312,PRJ046,"Rachael Walker","Finance Analyst",406,286
RES313,PRJ046,"Megan Hall","Product Owner",917,789
RES314,PRJ046,"Fiona Smith-Potts","Data Analyst",915,644
RES315,PRJ046,"Dr Gareth Davies","QA Analyst",293,271
RES316,PRJ046,"Deborah Williams","Change Manager",547,501
RES317,PRJ046,"Miss Frances Hunt","Project Coordinator",832,919
RES318,PRJ046,"Malcolm Murphy-Atkins","Product Owner",948,860
RES319,PRJ047,"Dr Michelle Smith",Developer,532,555
RES320,PRJ047,"Antony Allen","Change Manager",882,1005
RES321,PRJ047,"Sean Brown-Burke","Technical Lead",926,1001
RES322,PRJ047,"Miss Rebecca Armstrong",Engineer,391,413
RES323,PRJ047,"Peter Walker","Change Manager",928,786
RES324,PRJ047,"Frederick Lee-Cooke","Data Analyst",973,717
RES325,PRJ048,"Mr Leon Roberts",Engineer,213,223
RES326,PRJ048,"Ellie Bates","Technical Lead",563,478
RES327,PRJ048,"Annette Davey-Read","Technical Lead",603,484
RES328,PRJ048,"Brian Johnson","Business Analyst",255,185
RES329,PRJ048,"Brandon Thomas","Change Manager",122,97
RES330,PRJ049,"Dr Andrew Jackson",Engineer,375,288
RES331,PRJ049,"Gary Green-Harris","Finance Analyst",844,594
RES332,PRJ049,"Gavin Jarvis-Daniels",Developer,254,179
RES333,PRJ049,"Justin Hill","Data Analyst",450,419
RES334,PRJ050,"Jennifer Smith-West","Finance Analyst",480,458
RES335,PRJ050,"Sean Morris","Business Analyst",438,325
RES336,PRJ050,"Mrs Joan Robson","Project Coordinator",157,132
RES337,PRJ050,"Jade Taylor","Product Owner",173,172
RES338,PRJ050,"Tom Robinson-Morgan","Project Coordinator",296,353
RES339,PRJ050,"Dr Jordan Pearson",Engineer,936,851
RES340,PRJ050,"Holly Wilkinson","Business Analyst",224,276
RES341,PRJ050,"Jeffrey Davies","Data Analyst",494,555
RES342,PRJ050,"Wayne Jackson","Finance Analyst",353,390
RES343,PRJ050,"Dr Alexander Davies","Business Analyst",303,288
RES344,PRJ051,"James Bibi",Developer,633,674
RES345,PRJ051,"Ben Austin","Data Analyst",584,533
RES346,PRJ051,"Josephine Collins",Engineer,430,338
RES347,PRJ051,"Dr Bruce Atkins","Business Analyst",862,1047
RES348,PRJ051,"Mrs Diane Thomas","Change Manager",225,188
RES349,PRJ051,"Kathleen Turner",Engineer,303,272
RES350,PRJ051,"Sophie Henry","Business Analyst",984,1049
RES351,PRJ051,"Joseph McCarthy",Developer,341,357
RES352,PRJ051,"Dr Francesca Cox","QA Analyst",115,91
RES353,PRJ051,"Lynne Waters",Engineer,698,534
RES354,PRJ052,"Dr Mohammad Miles","Data Analyst",109,134
RES355,PRJ052,"Christine Marshall-Brennan","Technical Lead",902,974
RES356,PRJ052,"Terence Davis","Technical Lead",258,233
RES357,PRJ052,"Amelia Owen",Developer,354,278
RES358,PRJ052,"Antony Long",Developer,802,834
RES359,PRJ052,"Barbara Morgan-Wells","Business Analyst",161,144
RES360,PRJ052,"Dr Jordan Adams","Project Coordinator",818,813
RES361,PRJ052,"Stanley Anderson",Developer,228,220
RES362,PRJ052,"Jessica Fitzgerald","QA Analyst",671,760
RES363,PRJ052,"Samantha Greenwood","QA Analyst",924,1100
RES364,PRJ053,"Janet Burke","Data Analyst",121,130
RES365,PRJ053,"Stuart Grant","QA Analyst",841,651
RES366,PRJ053,"Mr Roger Russell","Business Analyst",596,648
RES367,PRJ053,"Mr Ashley Taylor","Change Manager",401,400
RES368,PRJ053,"Emily Henderson","Finance Analyst",294,297
RES369,PRJ053,"Mr William Benson","Change Manager",456,400
RES370,PRJ053,"Emily Brown","Finance Analyst",381,448
RES371,PRJ053,"Mr Billy Turnbull","Technical Lead",981,985
RES372,PRJ053,"Holly Barnett",Developer,643,504
RES373,PRJ054,"Rhys Carey-Morris",Engineer,654,589
RES374,PRJ054,"Francis Hobbs","Business Analyst",894,939
RES375,PRJ054,"Bryan Griffiths","Product Owner",851,682
RES376,PRJ054,"Jamie Harding","Business Analyst",734,859
RES377,PRJ054,"Lydia Bishop","Technical Lead",344,301
RES378,PRJ054,"Danny Robson",Developer,774,953
RES379,PRJ055,"Marilyn Baker","Product Owner",294,290
RES380,PRJ055,"Mrs Grace Edwards","Finance Analyst",884,886
RES381,PRJ055,"Alan Sutton","Technical Lead",389,341
RES382,PRJ055,"Ms Charlotte Clarke","QA Analyst",213,160
RES383,PRJ055,"Elliott Grant",Developer,144,166
RES384,PRJ055,"Ben Palmer-Anderson","Project Coordinator",282,332
RES385,PRJ055,"Carole Lowe-Sykes","Data Analyst",209,202
RES386,PRJ055,"Mr Toby Horton",Developer,132,133
RES387,PRJ055,"Mr Robin Price","Product Owner",773,749
RES388,PRJ055,"Chelsea Cook","Technical Lead",818,838
RES389,PRJ056,"Marc Sanderson","QA Analyst",326,336
RES390,PRJ056,"Sally Pugh",Developer,113,136
RES391,PRJ056,"Scott Patel","Data Analyst",771,748
RES392,PRJ056,"Amelia Preston",Developer,579,660
RES393,PRJ057,"Joanne Lee","QA Analyst",671,744
RES394,PRJ057,"Alexandra Glover","Product Owner",941,849
RES395,PRJ057,"Christian Barker-Humphreys","Business Analyst",943,980
RES396,PRJ057,"Leonard Moore","Change Manager",141,155
RES397,PRJ058,"Benjamin Ali",Engineer,179,218
RES398,PRJ058,"Dr Richard Morgan","Change Manager",199,150
RES399,PRJ058,"Dean Parsons","Data Analyst",644,587
RES400,PRJ058,"Howard Kelly","Data Analyst",638,677
RES401,PRJ058,"Cameron Wilson","Technical Lead",740,903
RES402,PRJ058,"Melanie Brady","Change Manager",867,873
RES403,PRJ058,"Mrs Olivia Allen",Developer,884,929
RES404,PRJ058,"Dr Leonard Simpson","QA Analyst",790,752
RES405,PRJ058,"Mr Leon Murray","Product Owner",206,163
RES406,PRJ058,"Dr Stephen Gardner","Project Coordinator",663,610
RES407,PRJ059,"Dean Woodward-Dodd","Project Coordinator",646,806
RES408,PRJ059,"Rachel Sullivan","Finance Analyst",460,550
RES409,PRJ059,"Mrs Rachel Cox","Change Manager",432,503
RES410,PRJ059,"Joanne Morris","Product Owner",882,924
RES411,PRJ059,"Paige Burton","QA Analyst",723,601
RES412,PRJ059,"Ms Sheila Webster","Change Manager",319,289
RES413,PRJ060,"Mrs Margaret Bryan",Engineer,468,575
RES414,PRJ060,"Mr Tom Reeves","Finance Analyst",506,354
RES415,PRJ060,"Mohamed Douglas","Business Analyst",391,401
RES416,PRJ060,"Ross Carroll","Change Manager",238,296
RES417,PRJ060,"Molly Clark",Engineer,106,91
RES418,PRJ060,"Mrs Jean Davies","Data Analyst",319,373
RES419,PRJ060,"Norman Hill","Business Analyst",890,1025
RES420,PRJ060,"Gemma Quinn-Robinson",Engineer,666,653
RES421,PRJ061,"Sarah Martin","Technical Lead",258,193
RES422,PRJ061,"Diane Miller","Finance Analyst",464,364
RES423,PRJ061,"Maureen O'Neill-Stephenson",Engineer,475,564
RES424,PRJ061,"Ms Emily Palmer","Data Analyst",338,284
RES425,PRJ061,"Geoffrey Knight-Lee",Engineer,194,196
RES426,PRJ061,"Dr Alan Frost","Technical Lead",322,355
RES427,PRJ061,"Michael Williams-Nicholls","QA Analyst",911,879
RES428,PRJ061,"Sally Allen","Finance Analyst",945,1128
RES429,PRJ062,"Reece Ellis","Technical Lead",939,1126
RES430,PRJ062,"Miss Amy Gibbons","Technical Lead",757,654
RES431,PRJ062,"Ms Rosie Nicholls","Technical Lead",490,364
RES432,PRJ062,"Jeremy Nicholson-Watts","Business Analyst",889,785
RES433,PRJ062,"Marion Fox","Product Owner",526,637
RES434,PRJ062,"Simon Byrne",Developer,990,1112
RES435,PRJ062,"Judith Morton-Marsh","Technical Lead",111,116
RES436,PRJ062,"Kathryn Parkinson","Product Owner",155,134
RES437,PRJ062,"Conor O'Connor","Business Analyst",426,424
RES438,PRJ063,"Dr Clive Wood","QA Analyst",614,665
RES439,PRJ063,"Mr Terence Webb","Project Coordinator",151,161
RES440,PRJ063,"Sandra Coleman-Gould","Product Owner",556,619
RES441,PRJ063,"Mr Craig Watson","Technical Lead",616,461
RES442,PRJ063,"Louis Hall","Product Owner",396,448
RES443,PRJ064,"Gregory Patterson","Project Coordinator",444,330
